Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,,,,,,,,,,,,,,,
0,0.303,/,,0,0.8195,/,,0,1.1978,/,,0,1.207,/,,0,0.5985,/,,0,0.5955,/,,0,0.5975,/,,0,0.8993,/,,0,0.9011,/,,0,0.9009,/,,0,0.3249,/,,0,1.2024,/,,0,1.2035,/,,0,1.1989,/,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV,,Reg,Vout/V,Δ/mV
17,0.8832,24.7,,,,,,,,,,17,3.507,100,,17,1.1714,24.9,,17,0.7086,4.9,,17,0.71,4.8,,17,1.0148,4.9,,17,1.017,5,,17,1.0152,4.9,,17,0.8941,25.5,,17,3.5,100,,17,3.5007,100.6,,17,3.4926,100.1,,,,,,,,,,,,,,,,
18,0.9089,25.7,,,,,,,,,,18,3.612,105,,18,1.1941,22.7,,18,0.7132,4.6,,18,0.715,5,,18,1.0197,4.9,,18,1.022,5,,18,1.0202,5,,18,0.9198,25.7,,18,3.6017,101.7,,18,3.5995,98.8,,18,3.5885,95.9,,,,,,,,,,,,,,,,
19,0.9334,24.5,,,,,,,,,,19,3.712,100,,19,1.2188,24.7,,19,0.7181,4.9,,19,0.7198,4.8,,19,1.0247,5,,19,1.0271,5.1,,19,1.0252,5,,19,0.9453,25.5,,19,3.7014,99.7,,19,3.6998,100.3,,19,3.6885,100,,,,,,,,,,,,,,,,
1A,0.9588,25.4,,,,,,,,,,,,100.2,,,,24.812,,1a,0.7233,5.2,,1a,0.7248,5,,1a,1.0296,4.9,,1a,1.032,4.9,,1a,1.0301,4.9,,1a,0.9709,25.6,,1a,3.8018,100.4,,1a,3.7998,100,,1a,3.7874,98.9,,,,,,,,,,,,,,,,
1B,0.9835,24.7,,,,,,,,,,,,,,,,,,1b,0.7282,4.9,,1b,0.7296,4.8,,1b,1.0346,5,,1b,1.0371,5.1,,1b,1.035,4.9,,1b,0.9965,25.6,,1b,3.9017,99.9,,1b,3.9001,100.3,,1b,3.8872,99.8,,,,,,,,,,,,,,,,
1C,1.0105,27,,,,,,,,,,,,,,,,,,1c,0.7328,4.6,,1c,0.7343,4.7,,1c,1.0399,5.3,,1c,1.0424,5.3,,1c,1.0401,5.1,,1c,1.0225,26,,1c,4.0004,98.7,,1c,3.9984,98.3,,1c,3.9868,99.6,,,,,,,,,,,,,,,,
1D,1.0346,24.1,,,,,,,,,,,,,,,,,,1d,0.7376,4.8,,1d,0.7391,4.8,,1d,1.0449,5,,1d,1.0475,5.1,,1d,1.0451,5,,1d,1.048,25.5,,,,99.92857143,,1d,4.099,100.6,,1d,4.0869,100.1,,,,,,,,,,,,,,,,
1E,1.06,25.4,,,,,,,,,,,,,,,,,,1e,0.7427,5.1,,1e,0.7441,5,,1e,1.0499,5,,1e,1.0525,5,,1e,1.05,4.9,,1e,1.0735,25.5,,,,,,1e,4.1986,99.6,,1e,4.1855,98.6,,,,,,,,,,,,,,,,
1F,1.0843,24.3,,,,,,,,,,,,,,,,,,1f,0.7476,4.9,,1f,0.749,4.9,,1f,1.0548,4.9,,1f,1.0576,5.1,,1f,1.055,5,,1f,1.099,25.5,,,,,,1f,4.2989,100.3,,1f,4.2852,99.7,,,,,,,,,,,,,,,,
20,1.112,27.7,,,,,,,,,,,,,,,,,,20,0.7524,4.8,,20,0.7551,6.1,,20,1.0584,3.6,,20,1.0602,2.6,,20,1.0609,5.9,,,,24.97096774,,,,,,,,99.8516129,,,,99.55806452,,,,,,,,,,,,,,,,
21,1.1356,23.6,,,,,,,,,,,,,,,,,,21,0.7572,4.8,,21,0.76,4.9,,21,1.0633,4.9,,21,1.0652,5,,21,1.0658,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.1611,25.5,,,,,,,,,,,,,,,,,,22,0.7624,5.2,,22,0.7649,4.9,,22,1.0682,4.9,,22,1.0703,5.1,,22,1.0708,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.1856,24.5,,,,,,,,,,,,,,,,,,23,0.7673,4.9,,23,0.7698,4.9,,23,1.0732,5,,23,1.0753,5,,23,1.0757,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.2121,26.5,,,,,,,,,,,,,,,,,,24,0.7719,4.6,,24,0.7745,4.7,,24,1.0785,5.3,,24,1.0807,5.4,,24,1.0808,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.2364,24.3,,,,,,,,,,,,,,,,,,25,0.7768,4.9,,25,0.7796,5.1,,25,1.0836,5.1,,25,1.0858,5.1,,25,1.0858,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.262,25.6,,,,,,,,,,,,,,,,,,26,0.7821,5.3,,26,0.7846,5,,26,1.0886,5,,26,1.0908,5,,26,1.0908,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.2863,24.3,,,,,,,,,,,,,,,,,,27,0.7871,5,,27,0.7894,4.8,,27,1.0935,4.9,,27,1.0959,5.1,,27,1.0957,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.3125,26.2,,,,,,,,,,,,,,,,,,28,0.7918,4.7,,28,0.7944,5,,28,1.0983,4.8,,28,1.1007,4.8,,28,1.1006,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.3366,24.1,,,,,,,,,,,,,,,,,,29,0.7967,4.9,,29,0.7992,4.8,,29,1.1032,4.9,,29,1.1058,5.1,,29,1.1055,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2A,1.3619,25.3,,,,,,,,,,,,,,,,,,2a,0.8019,5.2,,2a,0.8043,5.1,,2a,1.1082,5,,2a,1.1109,5.1,,2a,1.1106,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2B,1.3865,24.6,,,,,,,,,,,,,,,,,,2b,0.8067,4.8,,2b,0.8091,4.8,,2b,1.1132,5,,2b,1.116,5.1,,2b,1.1155,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2C,1.4127,26.2,,,,,,,,,,,,,,,,,,2c,0.8114,4.7,,2c,0.8138,4.7,,2c,1.1186,5.4,,2c,1.1212,5.2,,2c,1.1206,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2D,1.4372,24.5,,,,,,,,,,,,,,,,,,2d,0.8162,4.8,,2d,0.8187,4.9,,2d,1.1235,4.9,,2d,1.1263,5.1,,2d,1.1254,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2E,1.4626,25.4,,,,,,,,,,,,,,,,,,2e,0.8213,5.1,,2e,0.8237,5,,2e,1.1284,4.9,,2e,1.1313,5,,2e,1.1304,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2F,1.4873,24.7,,,,,,,,,,,,,,,,,,2f,0.8262,4.9,,2f,0.8285,4.8,,2f,1.1334,5,,2f,1.1364,5.1,,2f,1.1353,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.5098,22.5,,,,,,,,,,,,,,,,,,30,0.831,4.8,,30,0.8336,5.1,,30,1.1386,5.2,,30,1.1403,3.9,,30,1.1403,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.5349,25.1,,,,,,,,,,,,,,,,,,31,0.8359,4.9,,31,0.8385,4.9,,31,1.1435,4.9,,31,1.1454,5.1,,31,1.1452,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.5606,25.7,,,,,,,,,,,,,,,,,,32,0.8409,5,,32,0.8435,5,,32,1.1485,5,,32,1.1504,5,,32,1.1502,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.5854,24.8,,,,,,,,,,,,,,,,,,33,0.8458,4.9,,33,0.8483,4.8,,33,1.1535,5,,33,1.1554,5,,33,1.1551,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.6117,26.3,,,,,,,,,,,,,,,,,,34,0.8506,4.8,,34,0.853,4.7,,34,1.1589,5.4,,34,1.1607,5.3,,34,1.1602,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.636,24.3,,,,,,,,,,,,,,,,,,35,0.8554,4.8,,35,0.8578,4.8,,35,1.1638,4.9,,35,1.1658,5.1,,35,1.1651,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.6614,25.4,,,,,,,,,,,,,,,,,,36,0.8605,5.1,,36,0.8628,5,,36,1.1688,5,,36,1.1709,5.1,,36,1.1702,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.6858,24.4,,,,,,,,,,,,,,,,,,37,0.8654,4.9,,37,0.8677,4.9,,37,1.1738,5,,37,1.176,5.1,,37,1.1751,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.7117,25.9,,,,,,,,,,,,,,,,,,38,0.8701,4.7,,38,0.8726,4.9,,38,1.1786,4.8,,38,1.1809,4.9,,38,1.1801,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.7357,24,,,,,,,,,,,,,,,,,,39,0.8751,5,,39,0.8774,4.8,,39,1.1836,5,,39,1.1861,5.2,,39,1.1851,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3A,1.7617,26,,,,,,,,,,,,,,,,,,3a,0.8801,5,,3a,0.8824,5,,3a,1.1886,5,,3a,1.1911,5,,3a,1.1901,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3B,1.7858,24.1,,,,,,,,,,,,,,,,,,3b,0.8851,5,,3b,0.8873,4.9,,3b,1.1935,4.9,,3b,1.1961,5,,3b,1.195,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3C,1.8127,26.9,,,,,,,,,,,,,,,,,,3c,0.8898,4.7,,3c,0.8921,4.8,,3c,1.1989,5.4,,3c,1.2014,5.3,,3c,1.2001,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D,1.8366,23.9,,,,,,,,,,,,,,,,,,3d,0.8947,4.9,,3d,0.8969,4.8,,3d,1.2038,4.9,,3d,1.2065,5.1,,3d,1.205,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3E,1.8632,26.6,,,,,,,,,,,,,,,,,,3e,0.8998,5.1,,3e,0.9019,5,,3e,1.2088,5,,3e,1.2115,5,,3e,1.21,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3F,1.8864,23.2,,,,,,,,,,,,,,,,,,3f,0.9047,4.9,,3f,0.9067,4.8,,3f,1.2137,4.9,,3f,1.2166,5.1,,3f,1.2149,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
